@relation mix4sci

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' Class' {' rossolevanto',' onyx',' keivan',' black'}

@data
56.35,43.44,1.8,5.23,0.02,-6.28,0.3,0.47,0.87,0.92,' rossolevanto'
60.02,45.7,1.51,4.15,0.02,-6.31,0.48,0.44,0.84,0.89,' rossolevanto'
59.59,48.3,1.5,4.19,0.02,-6.73,0.95,0.37,0.76,0.81,' rossolevanto'
79.42,40.84,1.55,5.31,0.01,-6.92,0.52,0.45,0.82,0.84,' rossolevanto'
94.52,40.98,1.29,4.29,0.01,-6.96,0.55,0.35,0.79,0.85,' rossolevanto'
90.18,42.38,1.45,4.79,0.01,-6.98,0.47,0.41,0.83,0.87,' rossolevanto'
83.07,33.75,1.69,6.33,0.01,-6.69,0.55,0.4,0.8,0.78,' rossolevanto'
104.09,47.65,0.85,2.79,0.01,-7.25,0.72,0.3,0.76,0.85,' rossolevanto'
102.65,39.73,1.48,4.54,0.01,-6.79,0.45,0.52,0.84,0.85,' rossolevanto'
83.52,31.49,1.57,5.7,0.01,-6.59,0.38,0.42,0.84,0.83,' rossolevanto'
87.42,42.16,1.47,4.9,0.01,-6.88,0.41,0.4,0.83,0.89,' rossolevanto'
59.61,45.23,1.36,3.78,0.02,-6.69,0.43,0.4,0.83,0.9,' rossolevanto'
98.75,45.47,1.31,4.37,0.01,-7.18,0.26,0.45,0.89,0.93,' rossolevanto'
81.83,51.13,0.99,2.89,0.01,-7.16,1.35,0.4,0.72,0.73,' rossolevanto'
90.88,54.26,0.9,2.82,0.01,-7.44,1.48,0.3,0.69,0.74,' rossolevanto'
74.67,47.16,1.11,3.39,0.01,-7.15,1.44,0.33,0.69,0.67,' rossolevanto'
77.88,42.75,1.08,3.62,0.01,-7.16,1.11,0.34,0.72,0.69,' rossolevanto'
60.24,50.2,1.76,5.27,0.02,-6.77,0.73,0.41,0.8,0.86,' rossolevanto'
91.48,56.94,0.76,2.46,0.01,-7.52,0.96,0.32,0.74,0.85,' rossolevanto'
104.37,57.46,0.71,2.27,0.01,-7.47,0.8,0.32,0.75,0.88,' rossolevanto'
94.25,48.3,0.81,2.9,0.01,-7.34,0.71,0.34,0.78,0.84,' rossolevanto'
76.79,49.38,1.15,3.65,0.01,-7.25,1,0.33,0.73,0.79,' rossolevanto'
49.09,42.54,1.74,5.02,0.02,-6.45,0.31,0.49,0.87,0.92,' rossolevanto'
82.9,47.66,0.96,3.34,0.01,-7.37,2.06,0.27,0.63,0.55,' rossolevanto'
44.79,40.21,2.43,8.66,0.02,-6.15,0.45,0.53,0.88,0.87,' rossolevanto'
64.04,47.9,1.13,3.11,0.01,-6.84,0.56,0.37,0.8,0.89,' rossolevanto'
55.58,49.43,1.57,4.31,0.02,-6.68,0.33,0.47,0.87,0.94,' rossolevanto'
50.99,39.07,2.16,7.21,0.03,-6.16,0.28,0.51,0.88,0.91,' rossolevanto'
78.28,57.34,0.96,2.49,0.01,-7.04,0.42,0.39,0.84,0.94,' rossolevanto'
64.76,48.38,1.54,4.21,0.02,-6.4,0.34,0.5,0.86,0.92,' rossolevanto'
63.19,37.53,1.87,6.17,0.02,-6.57,1.39,0.53,0.75,0.49,' rossolevanto'
43.54,51.1,1.94,6.17,0.02,-6.52,1.12,0.6,0.8,0.78,' rossolevanto'
40.84,44.66,1.95,6.87,0.02,-6.7,0.9,0.55,0.81,0.76,' rossolevanto'
32.86,47.06,2.22,7.83,0.03,-6.17,0.97,0.65,0.82,0.75,' rossolevanto'
62.21,30.15,1.7,9.1,0.01,-6.73,0.54,0.45,0.81,0.71,' rossolevanto'
43.85,38.05,2.49,10.44,0.02,-6.53,0.77,0.49,0.82,0.75,' rossolevanto'
37.93,51.04,2.14,7.11,0.02,-6.39,0.93,0.64,0.82,0.81,' rossolevanto'
34.91,48.82,2.24,7.74,0.02,-6.25,1.24,0.66,0.81,0.71,' rossolevanto'
62.15,29.8,1.74,9.4,0.01,-6.71,0.53,0.46,0.81,0.71,' rossolevanto'
42.85,38.24,2.52,10.58,0.02,-6.52,0.48,0.52,0.87,0.84,' rossolevanto'
68.6,52.03,1.06,3.67,0.01,-7.38,0.72,0.35,0.81,0.87,' rossolevanto'
67.61,29.39,2.89,12.97,0.02,-6.13,0.38,0.58,0.86,0.8,' rossolevanto'
29.63,45.72,2.63,10.18,0.03,-6.08,0.87,0.69,0.85,0.76,' rossolevanto'
54.81,48.82,1.75,5.91,0.01,-6.99,2.54,0.35,0.64,0.48,' rossolevanto'
55.58,15.05,1.9,8.79,0.03,-5.66,0.3,0.71,0.88,0.42,' rossolevanto'
81.14,48.73,1.67,5.12,0.01,-7,0.94,0.43,0.76,0.8,' rossolevanto'
29.62,45.69,2.63,10.18,0.03,-6.08,0.85,0.69,0.85,0.77,' rossolevanto'
68.96,52.18,1.05,3.66,0.01,-7.39,0.73,0.35,0.81,0.87,' rossolevanto'
65.37,36.87,1.61,6.72,0.01,-6.89,0.61,0.38,0.8,0.79,' rossolevanto'
38.41,48.18,2.15,7.56,0.02,-6.58,0.87,0.6,0.81,0.8,' rossolevanto'
158.77,14.73,-0.91,4.36,0.02,-5.83,0.13,0.61,0.94,0.8,' onyx'
170.62,11.41,-1.28,5.59,0.03,-5.39,0.05,0.84,0.97,0.82,' onyx'
131.34,16.34,-0.51,3.89,0.02,-6.04,0.22,0.57,0.89,0.67,' onyx'
162.74,13.76,-0.65,3.18,0.02,-5.73,0.07,0.68,0.96,0.86,' onyx'
136.04,23.72,-1.03,4.48,0.01,-6.44,0.16,0.55,0.92,0.87,' onyx'
151.69,13.87,-0.5,3.32,0.02,-5.79,0.07,0.67,0.96,0.88,' onyx'
